warehouse_name,warehouse_city,warehouse_address,warehouse_pincode,lat_long
"Honasa Consumer Limited Emiza Bangalore Aqua, C O Emiza Supply chain service Pvt Ltd,Sy no 83 1,Kachanahalli village, Buddihal post, Kasaba Hobli, Nelamagala ta",Bangalore Rural,"Honasa Consumer Limited Emiza Bangalore Aqua, C O Emiza Supply chain service Pvt Ltd,Sy no 83 1,Kachanahalli village, Buddihal post, Kasaba Hobli, Nelamagala ta",562123,"[13.165214, 77.4092323]"
HK BLR,Bangalore Rural,"Survey no 75 /74.near jombo tails warehouse, Addakamaranahalli, Dasanapura, Bangalore 562123",562123,"[13.0700786, 77.4291142]"
DS_blr_mtl_HK,Bangalore,"89/1, Outer Ring Rd, Behind @home, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037",560037,"[12.9496157, 77.6983095]"
Ketch Bangalore 2,Bangalore,"SY No.330/B,324,331,331/B,331/1 and 334/1, MARASUR VILLAGE, KASABA HOBLI, ANEKAL TALUK, Bengaluru, 562106",562106,"[12.7662063, 77.70228200000001]"
Ketch Bangalore 2,Bangalore,"SY No.330/B,324,331,331/B,331/1 and 334/1, MARASUR VILLAGE, KASABA HOBLI, ANEKAL TALUK, Bengaluru, 562106.",562106,"[12.7662063, 77.70228200000001]"
Survey No  1 1B 1 2P  Gangadharanaplya Village Kasaba Hobli  Neelmangla Taluk,Bangalore,Survey No  1 1B 1 2P  Gangadharanaplya Village Kasaba Hobli  Neelmangla Taluk,562123,"[13.165214, 77.4092323]"
"Sy  No  58, Malonagathihalli Village",Bangalore Rural,"Sy  No  58, Malonagathihalli Village T Begur, Nelamangala, Bangalore Rural",562123,"[13.1588284, 77.3340577]"
Apollo Hosur,Bangalore,Apollo Pharmacy 13/2  2nd Floor  IHX Building  Hosur Road  Singasandra  Bangalore - 560068,560068,"[12.8809446, 77.64538809999999]"
Apollo Wilson,Bangalore,"Plot # 7, Door No : 62-108-7, 1st Floor, Opp Corporation, Wilson Garden, Bangalore - 560027",560027,"[12.9013945, 77.55544069999999]"
"15 Ground Floor, SY No  131 3, Hoskote, Anjaneya Garden IOC Road, Near Marie Gold Logistics,",Bangalore,"15 Ground Floor, SY No  131 3, Hoskote, Anjaneya Garden IOC Road, Near Marie Gold Logistics, Makanahalli Village, Bengaluru, Bengaluru Urban,",560067,"[13.0692593, 77.7982428]"
