awb,lat,lng,city,pincode,cluster
GS2087553611,19.0508748,72.8613038,Mumbai,400017,16
GS1847911196,19.142984,72.8482247,Mumbai,400075,17
GS1028022002,18.9925124,72.8183134,Mumbai,400604,40
GS1615816786,19.0304126,72.8891608,Mumbai,400074,1
GS1023287247,19.0360527,72.8421089,Mumbai,400016,16
GS1028095617,19.14095116,72.8065033,Mumbai,400061,20
GS1803107160,18.9529337,72.8234068,Mumbai,400005,11
GS1813460389,19.2085898,73.0124856,Mumbai,400605,15
GS1232762058,19.063605,72.833092,Mumbai,400050,16
GS1874714597,19.1225611,72.8844426,Mumbai,400059,4
GS2001381266,19.0999591,72.9184276,Mumbai,400086,10
GS1604334977,18.9976648,72.8489905,Mumbai,400015,40
GS1996928821,19.0044562,72.8349724,Mumbai,400012,40
GS2013690811,18.9576497,72.818754,Mumbai,400004,8
GS2013690811,18.9576497,72.818754,Mumbai,400004,8
GS2013690811,18.9576497,72.818754,Mumbai,400004,8
GS2013690811,18.9576497,72.818754,Mumbai,400004,8
GS1538627954,18.9545538,72.8271245,Mumbai,400004,40
GS1807224522,19.1717538,72.8642813,Mumbai,400063,17
GS1910183889,19.1143615,72.8320008,Mumbai,400049,6
GS1743491352,19.1966928,72.8367856,Mumbai,400064,0
GS1097960162,19.0335689,72.8655558,Mumbai,400037,5
GS1051303725,19.0250684,72.8782188,Mumbai,400037,1
GS1798192652,19.0626413,72.900035,Mumbai,400071,10
GS1925579472,19.1873683,72.9440884,Mumbai,400080,7
GS1550247267,19.1514486,72.8400854,Mumbai,400104,17
GS2110175772,19.1561464,72.8349226,Mumbai,400104,17
GS1908896343,19.1039025,72.8898344,Mumbai,400072,10
GS1467271760,19.2274222,72.8248684,Mumbai,400092,34
GS1149363217,19.2025766,72.985732,Mumbai,400601,15
GS1410611058,19.0283439,72.869804,Mumbai,400037,5
GS1455225051,19.1528967,72.8371262,Mumbai,400104,17
GS1732592068,18.9596082,72.8374007,Mumbai,400009,40
GS1088889698,19.1992738,72.8101685,Mumbai,400095,34
GS1274051207,19.1799989,72.859847,Mumbai,400097,17
GS1359529227,19.1953057,72.83696,Mumbai,400064,0
GS2009040537,19.0169832,72.8257593,Mumbai,400025,5
GS2009040537,19.0169832,72.8257593,Mumbai,400025,5
GS1220258046,19.126655,72.923018,Mumbai,400078,4
GS1694740446,19.1349035,72.8543634,Mumbai,400060,17
GS1694740446,19.1349035,72.8543634,Mumbai,400060,17
GS1060485321,19.1362548,72.861356,Mumbai,400060,17
GS2130677254,19.1998589,72.8718556,Mumbai,400101,17
GS1302919287,19.1555654,72.9420202,Mumbai,400078,7
GS1209403034,19.1821586,72.9575999,Mumbai,400080,7
GS1914575341,19.1768727,72.870793,Mumbai,400097,17
GS1863327769,18.964988,72.827413,Mumbai,400002,40
GS1386503793,19.1696559,72.9575829,Mumbai,400081,7
GS1421213747,19.233985,72.9896294,Mumbai,400607,3
GS2135542014,19.21275139,72.84150696,Mumbai,400067,12
GS1809164959,19.2721001,72.9706546,Mumbai,400615,14
GS1064243149,19.0508525,72.8615174,Mumbai,400017,16
GS1228973076,19.2304927,72.838845,Mumbai,400091,12
GS1764802818,19.1486423,72.9395972,Mumbai,400078,7
GS1827175744,19.139705,72.9265611,Mumbai,400078,2
GS2074448293,19.2686207,72.9669973,Mumbai,400615,14
GS1131611999,19.1433465,72.9288969,Mumbai,400078,2
GS1393165237,19.052964,72.874809,Mumbai,400022,9
GS1925337686,18.9593062,72.8331724,Mumbai,400009,40
GS2074045093,19.1605311,72.9445718,Mumbai,400078,7
GS1744413477,19.0744426,72.8604874,Mumbai,400029,16
GS1744413477,19.0744426,72.8604874,Mumbai,400029,16
GS1122987291,19.137309,72.8677942,Mumbai,400093,17
GS1885238979,19.2039109,72.8541326,Mumbai,400101,17
GS1885238979,19.2039109,72.8541326,Mumbai,400101,17
GS1691834211,19.1163262,72.8491735,Mumbai,400069,9
GS2036531328,19.1230432,72.8594866,Mumbai,400093,9
GS2036531328,19.1230432,72.8594866,Mumbai,400093,9
GS1649967173,19.1615817,72.8387815,Mumbai,400104,17
GS1164473456,19.1918243,72.8463224,Mumbai,400064,17
GS1248915833,19.2140732,72.8616891,Mumbai,400101,12
GS1356434715,18.9435739,72.8280335,Mumbai,400001,11
GS1376824026,19.2426633,72.9776821,Mumbai,400607,3
GS1536922380,19.1904184,72.8451609,Mumbai,400064,17
GS2009040537,19.0169832,72.8257593,Mumbai,400025,5
GS2009040537,19.0169832,72.8257593,Mumbai,400025,5
GS1622555110,19.2350556,72.9807496,Mumbai,400607,3
GS1622555110,19.2350556,72.9807496,Mumbai,400607,3
GS1622555110,19.2350556,72.9807496,Mumbai,400607,3
GS1622555110,18.9453104,72.8304674,Mumbai,400607,11
GS1028095617,19.14095116,72.8065033,Mumbai,400061,20
GS2088772345,19.1372423,72.9349833,Mumbai,400042,2
GS1447971622,19.121318,72.845645,Mumbai,400058,6
GS1454245027,19.0387032,72.8457105,Mumbai,400016,16
GS1172876401,19.1198926,72.894327,Mumbai,400072,10
GS1885238979,19.2039109,72.8541326,Mumbai,400101,17
GS1885238979,19.2039109,72.8541326,Mumbai,400101,17
GS1061198741,19.0188958,72.8422075,Mumbai,400028,40
GS1061198741,19.0188958,72.8422075,Mumbai,400028,40
GS1925802620,18.9947983,72.8487839,Mumbai,400015,40
GS2014866754,19.1163143,72.837442,Mumbai,400052,6
GS1961338522,19.1108101,72.8656481,Mumbai,400069,9
GS1908896343,19.1039025,72.8898344,Mumbai,400072,10
GS1184145644,19.1579738,72.9346968,Mumbai,400078,7
GS1158683639,19.1194405,72.9100434,Mumbai,400076,10
GS1043648958,19.1162305,72.9074157,Mumbai,400076,10
GS1061198741,19.0188958,72.8422075,Mumbai,400028,40
GS1061198741,19.0188958,72.8422075,Mumbai,400028,40
GS1893761869,19.1114028,72.9011251,Mumbai,400072,10
GS1035035462,19.1287706,72.8484555,Mumbai,400060,6
GS1230722212,19.2118532,72.8501924,Mumbai,400067,12
GS1250970600,19.0289844,72.8667999,Mumbai,400037,5
GS1476258741,19.1098814,72.854955,Mumbai,400099,9
GS2038148590,18.9734245,72.8098907,Mumbai,400026,8
GS1806867645,18.99194527,72.8365097,Mumbai,400012,40
GS1524491506,19.093353,72.8567669,Mumbai,400055,16
GS1024668350,19.0992944,72.9165102,Mumbai,400022,10
GS1694740446,19.1349035,72.8543634,Mumbai,400060,17
GS1694740446,19.1349035,72.8543634,Mumbai,400060,17
GS1626625560,19.1892667,72.8382162,Mumbai,400064,17
GS1840012449,19.1675925,72.9480471,Mumbai,400080,7
GS1158727251,19.1772179,72.8336573,Mumbai,400064,17
GS2107473920,19.2043643,72.8218359,Mumbai,400067,0
GS1549732120,19.081528,72.855202,Mumbai,400055,16
GS1636913696,18.9855057,72.836168,Mumbai,400033,40
GS1747427090,19.1169082,72.9090859,Mumbai,400076,10
GS1083931082,19.0927642,72.9136196,Mumbai,400086,10
GS1913983793,19.1268576,72.842782,Mumbai,400058,6
GS1913983793,19.1268576,72.842782,Mumbai,400058,6
GS1994621395,19.120469,72.8952634,Mumbai,400076,10
GS1215664154,19.1781051,72.81585,Mumbai,400095,20
GS1034807066,19.0683117,72.8742818,Mumbai,400070,10
GS1443187341,19.1897475,72.951884,Mumbai,400080,7
BZPPL00938326,19.0188958,72.8422075,Mumbai,400028,40
GS1090247988,19.1265312,72.9357215,Mumbai,400042,2
GS1941719281,19.2276089,72.9751101,Mumbai,400610,7
GS1029263032,19.1113336,72.9016488,Mumbai,400072,10
GS1311120050,19.1006561,72.8572643,Mumbai,400099,9
GS1403006809,18.9710128,72.8382783,Mumbai,400030,40
GS1558548228,19.1962451,72.8704569,Mumbai,400101,17
GS1655691200,19.065761,72.8936384,Mumbai,400071,10
GS1454245027,19.0387032,72.8457105,Mumbai,400016,16
GS1720461312,19.0605737,72.8504402,Mumbai,400051,16
GS1720461312,19.0605737,72.8504402,Mumbai,400051,16
GS1387078865,19.0170001,72.8553852,Mumbai,400031,40
GS1550381622,19.05284,72.8263999,Mumbai,400050,16
GS1966344309,19.1121104,72.8983546,Mumbai,400072,10
GS1888872220,19.1653279,72.8463525,Mumbai,400104,17
GS1925337686,18.9593062,72.8331724,Mumbai,400009,40
GS1143897047,19.1702821,72.8698946,Mumbai,400097,17
GS1622555110,19.2350556,72.9807496,Mumbai,400607,3
GS1622555110,19.2350556,72.9807496,Mumbai,400607,3
GS1622555110,19.2350556,72.9807496,Mumbai,400607,3
GS1622555110,18.9453104,72.8304674,Mumbai,400607,11
GS1999106656,19.0485721,72.8261031,Mumbai,400050,16
GS1159342262,19.0385522,72.9179758,Mumbai,400094,19
GS1276425597,18.9195979,72.82993,Mumbai,400001,11
GS1087435231,19.2079455,72.9859785,Mumbai,400601,7
GS2015682598,19.181797,72.9493862,Mumbai,400080,7
GS2015682598,19.181797,72.9493862,Mumbai,400080,7
GS1729764032,19.1416876,72.8043143,Mumbai,400061,20
GS1219236354,18.9685336,72.8197998,Mumbai,400008,40
GS1902058200,19.2255005,72.8586316,Mumbai,400066,12
GS1615896231,19.058603,72.882872,Mumbai,400024,10
GS1729764032,19.1416876,72.8043143,Mumbai,400061,20
GS1243307036,19.2002016,72.8176067,Mumbai,400095,34
BZPPL00939700,19.0265485,72.8683072,Mumbai,400037,5
GS1368391342,19.1308618,72.8629506,Mumbai,400093,17
GS1171854308,19.1392597,72.8096667,Mumbai,400061,20
GS1070796901,19.1330605,72.9151061,Mumbai,400076,4
GS1199422792,18.9098118,72.8094501,Mumbai,400005,11
GS1311120050,19.1006561,72.8572643,Mumbai,400099,9
GS1366499171,19.2179228,72.8470852,Mumbai,400092,12
GS1755210343,19.1626365,72.8335003,Mumbai,400104,17
GS1953042427,19.2436785,72.98052,Mumbai,400607,3
GS1622555110,19.2350556,72.9807496,Mumbai,400607,3
GS1622555110,19.2350556,72.9807496,Mumbai,400607,3
GS1622555110,19.2350556,72.9807496,Mumbai,400607,3
GS1622555110,18.9453104,72.8304674,Mumbai,400607,11
GS1554159706,19.2372346,72.8614622,Mumbai,400066,12
GS1059832633,19.1809029,72.9736452,Mumbai,400603,15
GS1539264186,19.1459548,72.8360028,Mumbai,400102,6
GS1729764032,19.1416876,72.8043143,Mumbai,400061,20
GS1421465667,19.1829855,72.8601865,Mumbai,400097,17
GS1565189184,18.9098118,72.8094501,Mumbai,400005,11
GS1044584066,19.1924538,72.9603459,Mumbai,400604,7
GS1893912269,19.0635757,72.8295182,Mumbai,400050,16
GS1893912269,19.0635757,72.8295182,Mumbai,400050,16
GS1550326154,19.2074471,72.8785121,Mumbai,400101,17
GS1048591407,19.007177,72.8481401,Mumbai,400012,40
GS1638281227,18.9129201,72.8157283,Mumbai,400005,11
GS1917959357,19.1494744,72.8276321,Mumbai,400053,6
GS1286760634,19.1690822,72.8357893,Mumbai,400104,17
GS1737099616,19.1929158,72.9953647,Mumbai,400605,15
GS1001370426,19.2115207,72.8353201,Mumbai,400067,0
GS1734860425,19.174037,72.8741055,Mumbai,400065,17
GS1228973076,19.2304927,72.838845,Mumbai,400091,12
GS1762889480,19.1412127,72.8309064,Mumbai,400053,6
GS1582545336,19.152056,72.8490882,Mumbai,400104,17
GS1599364226,19.1234672,72.8360737,Mumbai,400058,6
GS1922362649,19.2833999,72.955838,Mumbai,400615,13
GS1831913597,18.9961782,72.8439252,Mumbai,400033,40
GS1831913597,18.9961782,72.8439252,Mumbai,400033,40
GS1939410752,19.1991672,72.8481109,Mumbai,400067,17
GS1524235538,19.0611459,72.82974,Mumbai,400050,16
GS1465891727,19.0114516,72.8498023,Mumbai,400014,40
GS1465891727,19.0114516,72.8498023,Mumbai,400014,40
GS2121796492,19.1662566,72.8525696,Mumbai,400097,17
GS1674715963,19.1966053,72.8680026,Mumbai,400101,17
GS1440080003,19.03087807,72.86987305,Mumbai,400037,1
GS1997403766,19.0897299,72.9008955,Mumbai,400084,10
GS1110210069,19.0198601,72.8339617,Mumbai,400027,16
GS1996724695,19.213665,72.9672056,Mumbai,400606,7
GS2063280226,19.1405787,72.9329498,Mumbai,400078,2
GS1204987695,19.1647947,72.9446475,Mumbai,400080,7
GS1744413477,19.0744426,72.8604874,Mumbai,400029,16
GS1744413477,19.0744426,72.8604874,Mumbai,400029,16
GS1749062168,19.0575749,72.9058712,Mumbai,400071,10
GS1640712990,19.1618199,72.8331079,Mumbai,400104,17
GS1561076670,18.9726652,72.8280017,Mumbai,400008,40
GS1466912302,19.2264161,72.9693089,Mumbai,400610,7
GS1590842586,19.1745154,72.8476593,Mumbai,400104,17
GS1062462218,19.0315358,72.8709962,Mumbai,400022,1
GS2015682598,19.181797,72.9493862,Mumbai,400080,7
GS2015682598,19.181797,72.9493862,Mumbai,400080,7
GS1609333815,19.1045677,72.8760831,Mumbai,400059,9
BZPPL00917070,19.10427856,72.87911987,Mumbai,400059,10
GS1804392308,19.2690343,72.9695059,Mumbai,400615,14
GS1591708381,19.1337971,72.8108812,Mumbai,400061,20
GS1465891727,19.0114516,72.8498023,Mumbai,400014,40
GS1465891727,19.0114516,72.8498023,Mumbai,400014,40
GS1102360617,19.0596981,72.82821655,Mumbai,400050,16
GS1913983793,19.1268576,72.842782,Mumbai,400058,6
GS1913983793,19.1268576,72.842782,Mumbai,400058,6
GS1836502248,19.203022,72.97212982,Mumbai,400601,7
GS1476258741,19.1098814,72.854955,Mumbai,400099,9
GS1476959275,19.0136868,72.8653943,Mumbai,400037,40
GS2109301856,19.1805634,72.9562748,Mumbai,400080,7
GS2011233651,18.96212698,72.82731604,Mumbai,400008,40
GS2097342831,19.04846954,72.92002869,Mumbai,400088,19
GS1737099616,19.1929158,72.9953647,Mumbai,400605,15
GS2094887401,18.9623513,72.8183134,Mumbai,400007,40
GS1447971622,19.121318,72.845645,Mumbai,400058,6
GS2093847481,19.22012329,72.97123718,Mumbai,400606,7
GS1893761869,19.1114028,72.9011251,Mumbai,400072,10
GS1183857348,19.1732452,72.841578,Mumbai,400104,17
